chrom	chromStart	chromEnd	name	score	strand	counts
1	167431680	167431709	M07808:66:000000000-KDBRJ:1:1101:13231:3408	60	-	43
1	71753300	71753330	M07808:66:000000000-KDBRJ:1:1101:11400:2469	60	-	9
1	55125902	55125932	M07808:66:000000000-KDBRJ:1:1101:11134:2675	60	+	10
1	100169597	100169627	M07808:66:000000000-KDBRJ:1:1101:12153:2959	60	-	32
1	22392373	22392403	M07808:66:000000000-KDBRJ:1:1101:11921:4800	60	+	3
1	153318207	153318237	M07808:66:000000000-KDBRJ:1:1101:20587:6324	60	-	1
1	73922752	73922782	M07808:66:000000000-KDBRJ:1:1101:5842:6330	60	+	11
1	55125902	55125932	M07808:66:000000000-KDBRJ:1:1101:9419:6398	60	+	10
1	185095123	185095153	M07808:66:000000000-KDBRJ:1:1101:11731:7398	60	+	3
1	50694214	50694244	M07808:66:000000000-KDBRJ:1:1101:13703:7401	60	-	9
1	185095123	185095153	M07808:66:000000000-KDBRJ:1:1101:11744:7413	60	+	3
1	167431680	167431709	M07808:66:000000000-KDBRJ:1:1101:25648:7738	60	-	43
1	52454046	52454076	M07808:66:000000000-KDBRJ:1:1101:5713:7774	60	-	10
1	31924638	31924668	M07808:66:000000000-KDBRJ:1:1101:12057:7829	60	+	10
1	151193180	151193210	M07808:66:000000000-KDBRJ:1:1101:21094:7918	60	-	14
1	226614294	226614324	M07808:66:000000000-KDBRJ:1:1101:7055:4740	60	-	18
1	197649899	197649929	M07808:66:000000000-KDBRJ:1:1101:22374:8909	60	-	10
1	197649899	197649929	M07808:66:000000000-KDBRJ:1:1101:22360:8923	60	-	10
1	176033914	176033944	M07808:66:000000000-KDBRJ:1:1101:5096:9240	60	+	6
1	151130251	151130281	M07808:66:000000000-KDBRJ:1:1101:23723:9303	60	+	22
1	7920840	7920870	M07808:66:000000000-KDBRJ:1:1101:11300:9794	60	-	8
1	107129251	107129281	M07808:66:000000000-KDBRJ:1:1101:18045:10105	60	-	1
1	199476429	199476459	M07808:66:000000000-KDBRJ:1:1101:28644:10136	60	-	4
